DAY ID MONTHLY_REVENUE VAT_PAYMENT EBT MONTHLY_WAGE_PAYMENT TOTAL_FINANCIAL_PAYMENT PHYSICAL_CAPITAL_DEPRECIATION_COST DIVIDEND_PAYMENT CAPITAL_TAX_PAYMENT NET_EARNINGS
 140 9 0.000000 0.000000 -82.305876 40.000000 7.583654 34.722222 0.000000 0.000000 -82.305876
 140 10 0.000000 0.000000 -83.308916 40.000000 8.586694 34.722222 0.000000 0.000000 -83.308916
 140 2 75.046318 47.601557 -84.315996 240.000000 0.000000 34.722222 -0.000000 0.000000 -84.315996
 140 1 400.604588 86.394937 8.069841 270.000000 0.508322 34.722222 32.279365 0.806984 7.262857
 140 15 102.305157 6.652572 -182.705288 170.000000 4.593352 34.722222 0.000000 0.000000 -182.705288
 140 16 48.242313 0.000000 -79.590910 40.000000 4.868688 34.722222 0.000000 0.000000 -79.590910
 140 8 41.719595 12.135681 -58.781268 70.000000 2.601770 34.722222 0.000000 0.000000 -58.781268
 140 7 126.956327 16.166641 -151.214610 180.000000 1.158951 34.722222 -0.000000 0.000000 -151.214610
 140 14 335.889420 82.743830 3.018829 280.000000 1.158951 34.722222 12.075317 0.301883 2.716946
 140 13 286.578527 82.743830 3.018829 280.000000 1.158952 34.722222 12.075317 0.301883 2.716946
 140 6 17.690431 24.401214 -118.276322 180.000000 1.158954 34.722222 -0.000000 0.000000 -118.276322
 140 5 85.734009 46.174966 -101.181311 250.000000 1.158954 34.722222 -0.000000 0.000000 -101.181311
 140 12 122.680999 95.062486 12.873753 280.000000 1.158954 34.722222 51.495013 1.287375 11.586378
 140 11 216.651949 82.743830 3.018829 280.000000 1.158951 34.722222 12.075317 0.301883 2.716946
 140 4 0.000000 62.862607 23.181959 100.000000 0.818411 34.722222 92.727837 2.318196 20.863763
 140 3 61.335846 93.621678 13.804552 270.000000 0.741728 34.722222 55.218210 1.380455 12.424097
 160 17 0.000000 0.000000 -54.781200 20.000000 0.058978 34.722222 0.000000 0.000000 -54.781200
 160 18 0.000000 1.792605 -37.551802 10.000000 0.000000 34.722222 0.000000 0.000000 -37.551802
 160 10 6.567868 0.000000 -65.567641 20.000000 10.845419 34.722222 0.000000 0.000000 -65.567641
 160 9 0.000000 0.000000 -64.483980 20.000000 9.761758 34.722222 0.000000 0.000000 -64.483980
 160 1 402.088290 80.120918 3.050625 270.000000 0.508322 34.722222 12.202501 0.305063 2.745563
 160 2 220.141468 17.171180 -106.037503 140.000000 0.000000 34.722222 -0.000000 0.000000 -106.037503
 160 15 228.618081 22.032706 -223.283444 270.000000 6.692047 34.722222 0.000000 0.000000 -223.283444
 160 16 95.959039 9.648463 -23.226999 20.000000 7.098627 34.722222 0.000000 0.000000 -23.226999
 160 7 37.856459 40.189858 6.975652 90.000000 1.158951 34.722222 27.902607 0.697565 6.278087
 160 8 25.510652 8.343919 -54.233452 50.000000 2.886906 34.722222 0.000000 0.000000 -54.233452
 160 13 390.746955 83.137183 3.333512 280.000000 1.158952 34.722222 13.334047 0.333351 3.000161
 160 14 416.670937 83.137183 3.333512 280.000000 1.158951 34.722222 13.334047 0.333351 3.000161
 160 5 17.884287 40.945662 -2.098527 130.000000 1.158954 34.722222 -0.000000 0.000000 -2.098527
 160 6 126.022457 17.294891 -56.701613 90.000000 1.158954 34.722222 -0.000000 0.000000 -56.701613
 160 11 194.776960 83.137183 3.333512 280.000000 1.158951 34.722222 13.334047 0.333351 3.000161
 160 12 156.428698 83.137184 3.333512 280.000000 1.158954 34.722222 13.334047 0.333351 3.000161
 160 3 34.805153 80.394734 3.222997 270.000000 0.741728 34.722222 12.891988 0.322300 2.900697
 160 4 0.000000 15.511912 -73.492985 100.000000 0.818411 34.722222 0.000000 0.000000 -73.492985
 180 17 0.000000 1.690205 -39.102163 10.000000 1.140761 34.722222 0.000000 0.000000 -39.102163
 180 18 0.000000 37.781247 21.280553 10.000000 0.000000 34.722222 85.122213 2.128055 19.152498
 180 9 32.406413 2.634753 -45.441396 10.000000 11.258185 34.722222 0.000000 0.000000 -45.441396
 180 10 15.625171 1.313574 -51.891143 10.000000 12.423215 34.722222 0.000000 0.000000 -51.891143
 180 2 83.707952 49.084317 18.323009 70.000000 0.000000 34.722222 73.292036 1.832301 16.490708
 180 1 370.372236 80.417658 3.288018 270.000000 0.508322 34.722222 13.152071 0.328802 2.959216
 180 15 255.987754 55.294631 -166.910754 340.000000 13.367056 34.722222 0.000000 0.000000 -166.910754
 180 16 0.000000 23.257309 8.241677 10.000000 7.098627 34.722222 32.966709 0.824168 7.417510
 180 7 57.834575 14.773670 -66.786493 90.000000 1.158951 34.722222 -0.000000 0.000000 -66.786493
 180 8 8.781971 15.542731 -6.394287 30.000000 3.842987 34.722222 0.000000 0.000000 -6.394287
 180 14 316.871418 83.334187 3.491115 280.000000 1.158951 34.722222 13.964461 0.349112 3.142004
 180 13 417.164270 83.334188 3.491115 280.000000 1.158952 34.722222 13.964461 0.349112 3.142004
 180 6 0.000000 64.302557 34.265810 50.000000 1.158954 34.722222 137.063241 3.426581 30.839229
 180 5 63.272252 16.636723 -69.334285 100.000000 1.158954 34.722222 -0.000000 0.000000 -69.334285
 180 12 95.475219 83.334188 3.491115 280.000000 1.158954 34.722222 13.964461 0.349112 3.142004
 180 11 230.275347 83.334187 3.491115 280.000000 1.158951 34.722222 13.964461 0.349112 3.142004
 180 4 0.000000 9.517722 -97.469744 100.000000 0.818411 34.722222 0.000000 0.000000 -97.469744
 180 3 63.634676 80.585604 3.375693 270.000000 0.741728 34.722222 13.502772 0.337569 3.038124
 200 18 0.000000 0.000000 -44.722222 10.000000 0.000000 34.722222 -0.000000 0.000000 -44.722222
 200 17 0.000000 11.053392 -2.149095 10.000000 1.640441 34.722222 0.000000 0.000000 -2.149095
 200 10 117.758253 3.125034 -45.717687 10.000000 13.495601 34.722222 0.000000 0.000000 -45.717687
 200 9 190.097845 7.415045 -27.077980 10.000000 12.015938 34.722222 0.000000 0.000000 -27.077980
 200 1 368.334410 80.566276 3.406912 270.000000 0.508322 34.722222 13.627647 0.340691 3.066220
 200 2 13.817568 23.034296 -12.585040 70.000000 0.000000 34.722222 -0.000000 0.000000 -12.585040
 200 15 213.219826 58.961978 13.285559 170.000000 17.840129 34.722222 0.000000 1.328556 11.957003
 200 16 0.000000 0.000000 -51.820849 10.000000 7.098627 34.722222 0.000000 0.000000 -51.820849
 200 7 0.000000 17.412713 -46.230324 80.000000 1.158951 34.722222 -0.000000 0.000000 -46.230324
 200 8 42.525057 2.620161 -58.084565 30.000000 3.842987 34.722222 0.000000 0.000000 -58.084565
 200 13 364.906368 83.432854 3.570048 280.000000 1.158952 34.722222 14.280193 0.357005 3.213043
 200 14 417.411346 83.432854 3.570048 280.000000 1.158951 34.722222 14.280193 0.357005 3.213043
